actual_dt,trust1_syn,trust2_syn
2014-01-01,454,372
2014-01-02,358,280
2014-01-03,366,286
2014-01-04,337,313
2014-01-05,338,284
2014-01-06,362,286
2014-01-07,344,258
2014-01-08,318,270
2014-01-09,362,299
2014-01-10,344,288
2014-01-11,335,298
2014-01-12,312,276
2014-01-13,318,296
2014-01-14,334,302
2014-01-15,322,297
2014-01-16,342,296
2014-01-17,351,287
2014-01-18,333,310
2014-01-19,314,308
2014-01-20,346,284
2014-01-21,312,302
2014-01-22,310,292
2014-01-23,311,302
2014-01-24,362,280
2014-01-25,349,293
2014-01-26,348,298
2014-01-27,314,305
2014-01-28,336,288
2014-01-29,350,275
2014-01-30,335,299
2014-01-31,333,292
2014-02-01,334,288
2014-02-02,352,330
2014-02-03,346,310
2014-02-04,343,261
2014-02-05,336,291
2014-02-06,330,280
2014-02-07,377,324
2014-02-08,364,307
2014-02-09,362,306
2014-02-10,356,322
2014-02-11,346,268
2014-02-12,350,272
2014-02-13,352,305
2014-02-14,340,298
2014-02-15,355,312
2014-02-16,369,327
2014-02-17,368,286
2014-02-18,340,291
2014-02-19,346,284
2014-02-20,324,300
2014-02-21,370,284
2014-02-22,355,300
2014-02-23,378,301
2014-02-24,368,304
2014-02-25,330,272
2014-02-26,314,287
2014-02-27,323,282
2014-02-28,328,295
2014-03-01,378,300
2014-03-02,364,316
2014-03-03,362,298
2014-03-04,344,276
2014-03-05,367,288
2014-03-06,366,308
2014-03-07,364,304
2014-03-08,416,332
2014-03-09,361,338
2014-03-10,376,300
2014-03-11,352,269
2014-03-12,350,288
2014-03-13,362,281
2014-03-14,338,290
2014-03-15,364,328
2014-03-16,350,334
2014-03-17,358,302
2014-03-18,346,298
2014-03-19,333,279
2014-03-20,355,303
2014-03-21,365,290
2014-03-22,368,310
2014-03-23,384,322
2014-03-24,348,316
2014-03-25,345,283
2014-03-26,361,279
2014-03-27,352,294
2014-03-28,340,302
2014-03-29,400,338
2014-03-30,415,310
2014-03-31,404,311
2014-04-01,362,307
2014-04-02,368,304
2014-04-03,382,310
2014-04-04,378,300
2014-04-05,409,323
2014-04-06,394,318
2014-04-07,354,302
2014-04-08,361,273
